#How to read this file:
#This is a comment and will be ignored since it starts with "#"
#A comment above a list of entries is the network name
#On a given line the first entry is the text that will be returned if any comma separated entries after that entry on that line are found at the start of the file name
#a lowercase abbreviation (typically the second entry on each line, if it's known) is the same used as the release name on usenet alt.binaries.erotica

#21sextury
"Spring Break Spycam", "SpringBreakSpycam"
"Stepmom Videos", smv, StepmomVideos
"Tugjobs", tj, "Tug Jobs"
"Working Latinas", "WorkingLatinas"

#Brand Danger
"Forever Vamp", "ForeverVamp", "ForeverVamp.com"
"Holly Randall", "HollyRandall", "HollyRandall.com"


#Brazzers
"Asses In Public", AssesInPublic
"Baby Got Boobs", bgb, BabyGotBoobs
"Big Butts Like It Big", bblib, BigButtsLikeItBig
"Big Tits At School", btas, BigTitsAtSchool
"Big Tits At Work", btaw, BigTitsAtWork
"Big Tits In Sports", btis, BigTitsInSports
"Big Tits In Uniform", btiu, BigTitsInUniform
"Big Wet Butts", bwb, BigWetButts
"Brazzers Extra", bex, BrazzersExtra
"Brazzers Vault", BrazzersVault
"Busty And Real", BustyAndReal
"Butts And Blacks", ButtsAndBlacks
"Day With A Pornstar", dwp, DayWithAPornStar
"Dirty Masseur", dm, DirtyMasseur
"Doctor Adventures", da, DoctorAdventures
"Hot and Mean", ham, HotAndMean
"Milfs Like It Big", mlib, MilfsLikeItBig
"Mommy Got Boobs", mgb, MommyGotBoobs
"Moms In Control", mic, MomsInControl
"Porn Stars Like It Big", plib, PornStarsLikeItBig
"Real Wife Stories", rws, RealWifeStories
"She's Gonna Squirt", sgs, ShesGonnaSquirt
"Teens Like It Big", tlib, TeensLikeItBig
"Zz Series", zzs, ZzSeries

#Culioneros Network
"Chicas De Porno", cdp, "ChicasDePorno"
"Chiva Culiona", "ChivaCuliona"
"Costenas Locas", "CostenasLocas"
"Cuchi Mami", "CuchiMami"
"Mi Primer Porno", mpp, "MiPrimerPorno"
"Nalgas Grandes", "NalgasGrandes"
"Por El Chiquito", pec, "PorElChiquito"
"Sexo En Publico", sep, "SexoEnPublico"
